file,sentence_cleaned
asr_sinhala/data/a2/a22f6ae045.flac,හැමෝම අනිවාර්යෙන්
asr_sinhala/data/b9/b9666683a1.flac,ඇති හැකි ඇත්තෝ පෙරට ආහ
asr_sinhala/data/66/66160f5aa8.flac,"බෞද්ධයන් වන අප,"
asr_sinhala/data/7b/7bb7f08c3b.flac,එහි අරුත වූයේ
asr_sinhala/data/5c/5c4a0428b0.flac,කටේ හිර කර ගෙන
asr_sinhala/data/5b/5b94883263.flac,දෙවනුව කඩේ යන්නේ
asr_sinhala/data/a9/a96e82faff.flac,ප්‍රශ්න කරන කතිකාවට
asr_sinhala/data/09/09d3a5bcd1.flac,අපට කියා දුන් පරිදි
asr_sinhala/data/85/858c021de7.flac,ස්වභාවික හේතු
asr_sinhala/data/23/230560c58a.flac,ඇය කතාවේ වීරයා එක්ක මිතුරු වෙන්නේ හේතුවකට.
asr_sinhala/data/31/31ff1a7a5e.flac,අප වැනි ආසියාතික මානසිකත්වයට
asr_sinhala/data/e9/e9300373f3.flac,එතකොට එයා ඒකෙන් නිදහස් වෙන්න කැමැති වෙනවා
asr_sinhala/data/cd/cd7c3053ba.flac,කොපමණ භික්‍ෂූන් වහන්සේලා සිටිය යුතු ද?
asr_sinhala/data/f7/f78eac5f09.flac,අප දැන් ජීවත්වන්නේ
asr_sinhala/data/4a/4ab23c0e81.flac,රූස්ස ගස්වලින් සෙවන ලැබූ
asr_sinhala/data/4e/4e8fc980ae.flac,එකම කඹයේ දෙකෙලවර
asr_sinhala/data/1b/1b286824e5.flac,එයිටත් පස්සේ කාලෙක මගේ තාත්තා
asr_sinhala/data/64/6460506a55.flac,මේ ගෝ කාට්ස් කියන රේසින් කාර් හදන්නෙ.
asr_sinhala/data/7e/7ebac68d68.flac,මට රිමාන්ඩ් ගත වෙන්න වුණා
asr_sinhala/data/d7/d7010adbfa.flac,වඩා තීරණාත්මක වුණේ
asr_sinhala/data/07/07183cd26b.flac,ඒ හැම දෙයක්ම
asr_sinhala/data/5b/5ba1e384a4.flac,රජුට දොස් කීම විරුද්ධ වීම
asr_sinhala/data/a0/a09e85f32f.flac,අපේ තාත්තා මේ ගිනිගහන කාන්තාර රටක
asr_sinhala/data/fb/fbec93a548.flac,එනම් නිරුවතින් මහපාරේ යාමට
asr_sinhala/data/d0/d0ef8492e2.flac,ඒත් අටවෙනි ජූරි සභිකයා මෙයා තමයි
asr_sinhala/data/fd/fdcee3ac25.flac,එන්න වෙයිද දන්නෙ නෑ
asr_sinhala/data/b6/b69c16d4f7.flac,තේරුම් අරන් තිබෙනවා
asr_sinhala/data/7e/7ea53f0525.flac,ඔයාලට මේ කතාව ලබාදෙයි.
asr_sinhala/data/bd/bd64d4d517.flac,මේකෙ අපට තියෙන ඊළඟ ප්‍රශ්නය
asr_sinhala/data/d8/d8fb7dbda3.flac,පසුගිය මාස කීපය තුළ
asr_sinhala/data/e9/e959b7d452.flac,පූර්ව වාසනාවකට
asr_sinhala/data/87/87e9d2d4c5.flac,කැටයම් නොකල සදකඩ පහනක්
asr_sinhala/data/6c/6c043f095e.flac,හේතු වූයේ මෙය බව කියනු ලැබේ
asr_sinhala/data/3c/3cacaa453a.flac,ආගමික සංස්කෘතිය විසින් කර ඇති
asr_sinhala/data/cf/cfe83c4a31.flac,ගන්න කොට
asr_sinhala/data/7b/7b00cfb5bb.flac,ඒකනේ කියන්නෙ
asr_sinhala/data/c1/c19f28942b.flac,අවසාන ප්‍රතිඵලය වූයේ
asr_sinhala/data/ba/ba83422e0b.flac,ගවයාට වන්දනා කරනවා
asr_sinhala/data/9e/9edf0694d8.flac,එක්සත් ජනපදය සමඟ ඒකාබද්ධ ව ආරක්‍ෂිත පද්ධතියක් පිහිටුවන බව
asr_sinhala/data/bf/bff2b75e66.flac,සාරද අනාගතයේ බුදුබව ලබන
asr_sinhala/data/1e/1e7ca64255.flac,මුස්ලිම් සමාජය ගැන අප නොදන්නා කරුණු
asr_sinhala/data/99/99892d4a90.flac,උසස්පෙළ සහ විවිය අතර කාලේ.
asr_sinhala/data/6b/6ba9da07aa.flac,වැඩ පිළිවෙලක් නැත
asr_sinhala/data/9a/9ae5c3f2dc.flac,අලංකාර කර ඇති
asr_sinhala/data/37/37794f0861.flac,සත් දවසක් නිරෝධ සමාපත්තියෙන්
asr_sinhala/data/85/85583a38eb.flac,මෙම ධුරයට පත්වන හිමිනමට සිය ජීවිත කාලය පුරාවට තනතුරේ වැඩ වාසය කල හැක.
asr_sinhala/data/42/424ee8a34c.flac,රන් සමනළ ක්‍රීඩා සමාජයට හිමි විය.
asr_sinhala/data/83/83e792af27.flac,භික්‍ෂූන් හික්මවීමේ සම්ප්‍රදායයි.
asr_sinhala/data/5f/5fe8cc70a4.flac,මිනිසාට සෑම දෙයක් පිළිබඳ සිතීමේ
asr_sinhala/data/97/9735307b76.flac,යටතේ වර්ග කිරීමයි.
asr_sinhala/data/3c/3c6b1b6bfd.flac,එහෙම දේවල් සුන්දර දේවල්
asr_sinhala/data/f4/f41c79572b.flac,රක්‍ෂිත බන්ධනාගාර ගතකර සිටි සභාපතිවරයා
asr_sinhala/data/6e/6e685b207c.flac,තරුණ පරපුරට කතා කරන්න පුළුවන් කලාකාරියන්
asr_sinhala/data/0a/0a5fd3fbe9.flac,අපේ ඇත්තෝ ලොකු වියදමක් කරලා
