sentence_cleaned,file
නමුත් කතන්දර කියන ඒවා,asr_sinhala/data/db/db176e4b7c.flac
අපට තිබුණේ පැළ සිටුවා,asr_sinhala/data/30/3070cc3c17.flac
නීති විරෝධී ලෙස ඔට්ටු ඇල්ලීම,asr_sinhala/data/1c/1cb59c2460.flac
මළ තැනැත්තාගේ අගුණ දොස් නොකීමද,asr_sinhala/data/15/15348124b3.flac
ශබ්දාවලියක් තිබේ.,asr_sinhala/data/da/da4c1f9161.flac
තමා අද මේක ඕගොල්ලන්ට ගෙනාවේ.,asr_sinhala/data/af/af70c9cd16.flac
ෂුවර් පිට දන්න නිසා.,asr_sinhala/data/d5/d50dca3257.flac
නාට්‍ය කණ්ඩායමේ තව දුරටත් ඉන්නට,asr_sinhala/data/d5/d59ccc2ae7.flac
මේ ඉපදුණ ජීවිතයේ,asr_sinhala/data/f7/f72b5aec67.flac
අපි ගොඩක් දේ,asr_sinhala/data/66/667c4a2be5.flac
උසස් පින්කමක් වශයෙන් සැලකූහ.,asr_sinhala/data/39/3975db659f.flac
නිසි ප්‍රයෝජන ලබා ගත හැක්කේ ද,asr_sinhala/data/4f/4fc3c5a769.flac
මොකද ජනතා විමුක්ති පෙරමුණ ස්වේච්ඡා දේශපාලන පක්ෂයක් නිසා.,asr_sinhala/data/b2/b21b416558.flac
බැටළුවෝ වගේ පස්සෙන් යන්න නරකයි.,asr_sinhala/data/06/06c9e78805.flac
කොම්පීතර ජිල්මාට් ගහන හොරු ගැන,asr_sinhala/data/b7/b709857cee.flac
ගිල දමා විශ්‍රාම ශාලාවේ එක් කොනකට වී,asr_sinhala/data/2e/2eeb796fca.flac
සෑම රාජ්‍ය නායකයකුම පැමිණිය යුතුයි කියල,asr_sinhala/data/ec/ecd9de5f7e.flac
තවමත් හඳුනාගෙන නැත.,asr_sinhala/data/a7/a79b0a32af.flac
ඒකට අනු පිළිවෙලක් තියෙනවනම්,asr_sinhala/data/5c/5ca1bc6dd5.flac
එවැනි බිරිඳකගේ,asr_sinhala/data/62/62e0ebd917.flac
අශිෂ්ට ව්‍යවහාරය යොදාගැනීමේ උපක්‍රමය,asr_sinhala/data/30/30a9bdebb3.flac
අද පාලකයෝ කරන ඕන,asr_sinhala/data/99/996b366b75.flac
සෝඩා බීම සඳහා විශේෂ රබර් නළයක් සාදා තිබීම,asr_sinhala/data/9d/9dc2458647.flac
මොනවා වුනත්,asr_sinhala/data/33/3387fc4a6a.flac
ඔය පොතේ නමත් හරියට,asr_sinhala/data/0f/0f75f61c4a.flac
ඊට සපුරා සමාන නොවේ,asr_sinhala/data/5c/5c8ced38af.flac
සෑම ජාතියක්ම එකිනෙකාට එරෙහිව,asr_sinhala/data/32/322e8232f6.flac
සිදුකරන ලදී.,asr_sinhala/data/2b/2b650b8e54.flac
එකට බොහොම ස්තුතියි.,asr_sinhala/data/b1/b13f54f8bf.flac
එක් පොහෝ දිනක,asr_sinhala/data/5e/5e57c88f92.flac
වලපනේ පදිංචිකාරයකු වන අතර,asr_sinhala/data/d2/d2e707d3db.flac
විචාර කලාව තුළින්,asr_sinhala/data/9d/9d80c2a78e.flac
ඒවාට සමාව භජනය කරන ගමන්,asr_sinhala/data/51/51b9cc9e07.flac
නිසි ආකාරයෙන් භාවිත නො කරන බව,asr_sinhala/data/99/99e90b6ea1.flac
සැනසිලිදායක ප්‍රීතියක්.,asr_sinhala/data/f0/f017831619.flac
මෙය ඉතාමත් සාමකාමි ගමක්.,asr_sinhala/data/b8/b818bc2cc7.flac
ඇය තම ‍රැකියාව හැටියට ආපනශාලාවක සේවය කලත්,asr_sinhala/data/20/20081e6f93.flac
කෙස් කුණප කොටසක්.,asr_sinhala/data/a6/a64e43fe24.flac
"ශ්‍රී බුද්ධදත්ත ප්‍රතිමාව, ආදී",asr_sinhala/data/34/3445a69c89.flac
ඔබතුමියට කැමැති ඕනෑම දේශපාලන මෙහවරක් කිරීමට,asr_sinhala/data/bd/bd89130e61.flac
කෑම එකක් රසට හදාගන්න,asr_sinhala/data/28/284716d516.flac
එතුමගේ නිවසේ කලු පාට ජනෙල් රෙදි දාලා තියෙන්නේ,asr_sinhala/data/c6/c6219bb762.flac
අම්මේ ඔබට නිරෝගි දිවියක් සමග,asr_sinhala/data/a9/a99c945cbe.flac
සිංහල සේවය කළ විමසුමකට,asr_sinhala/data/ef/efd1f1a1ad.flac
ඒක නිසා ඇමරිකාවේම ඉන්න දෙන්න කියලා,asr_sinhala/data/32/32fdb8d0c8.flac
එය චුල්ලසෙට්ඨි ජාතකය මගින්,asr_sinhala/data/21/21640a404b.flac
ඒත් එහිදි,asr_sinhala/data/b5/b5faff0898.flac
කෘතිම විදිහට ඇහැක් හදලා,asr_sinhala/data/a8/a82d11cd16.flac
මොකද ඒවා ලියල තියෙන කෙලෙස් සහිත අයගේ අදහස්,asr_sinhala/data/5d/5d4529daea.flac
එබඳු කෙනෙක් වුනත්,asr_sinhala/data/f6/f6591e7bad.flac
ගුවන් හමුදා නිලධාරියකු වන්නටය.,asr_sinhala/data/a5/a54979bfe0.flac
එකෙක් දැක්ක,asr_sinhala/data/06/069f82f995.flac
අනර්ඝ සිනමා කෘතියක් කිව්වොත් නිවැරදියි,asr_sinhala/data/dc/dc2d7ecf29.flac
ජීවන රටාව ගොඩ නඟා ගැනීම,asr_sinhala/data/a6/a66e261346.flac
ඒක අහෝසි කරනවනම්,asr_sinhala/data/0d/0d07609ddf.flac
ඒත මට තියෙන ප්‍රශ්නේ,asr_sinhala/data/05/05ddba64df.flac
අන්වීක්ෂයකින් බැලූ විට,asr_sinhala/data/0b/0b8fb96e9e.flac
ගිහි ගෙදරින් නික්ම,asr_sinhala/data/81/810df29953.flac
ගෝලීය උණුසුම ද,asr_sinhala/data/10/102d011e41.flac
අඬලා ඒවගේ කෙනෙක් එක්ක වැඩ කරන්න,asr_sinhala/data/68/686af8532b.flac
එගොඩ වෙනවා,asr_sinhala/data/d0/d0e59b3171.flac
අතන මෙතන පොඩි පොඩි ෆයිට් මිසක්.,asr_sinhala/data/14/14fb726bc6.flac
මේ අන්දමට පරිසරය ඇසුරු කර,asr_sinhala/data/e8/e88f194452.flac
සඳරූ වෙන රටක ඉපදිලා උසස් තැනකට යයිද?,asr_sinhala/data/a7/a73a7d5e52.flac
